Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Loading model...
Loading dataset...
The dataset has 18,864 samples!
The augumentation is OFF
Loading accelerator...
🚀 Accelerator launching on 1 GPU(s)
Starting training...
Epochs:   0%|          | 0/10 [00:00<?, ?it/s]
  0%|          | 7/18864 [00:07<3:59:34,  1.31it/s, Loss=0.417 (L1:0.51, MSE:0.42), Free VRAM=33.3GiB, Time=0h 0m 7s][A
  0%|          | 8/18864 [00:07<3:52:12,  1.35it/s, Loss=0.417 (L1:0.51, MSE:0.42), Free VRAM=33.3GiB, Time=0h 0m 7s][A
  0%|          | 8/18864 [00:08<3:52:12,  1.35it/s, Loss=0.114 (L1:0.26, MSE:0.11), Free VRAM=33.3GiB, Time=0h 0m 7s][A
  0%|          | 9/18864 [00:08<3:47:01,  1.38it/s, Loss=0.114 (L1:0.26, MSE:0.11), Free VRAM=33.3GiB, Time=0h 0m 7s][A
  0%|          | 9/18864 [00:08<3:47:01,  1.38it/s, Loss=0.094 (L1:0.23, MSE:0.09), Free VRAM=33.3GiB, Time=0h 0m 8s][A
  0%|          | 10/18864 [00:08<3:43:38,  1.41it/s, Loss=0.094 (L1:0.23, MSE:0.09), Free VRAM=33.3GiB, Time=0h 0m 8s][A
  0%|          | 10/18864 [00:09<3:43:38,  1.41it/s, Loss=0.089 (L1:0.23, MSE:0.09), Free VRAM=33.3GiB, Time=0h 0m 9s][A
  0%|          | 11/18864 [00:09<3:41:19,  1.42it/s, Loss=0.089 (L1:0.23, MSE:0.09), Free VRAM=33.3GiB, Time=0h 0m 9s][A
  0%|          | 11/18864 [00:10<3:41:19,  1.42it/s, Loss=0.080 (L1:0.21, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 10s][A
  0%|          | 12/18864 [00:10<3:39:39,  1.43it/s, Loss=0.080 (L1:0.21, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 10s][A
  0%|          | 12/18864 [00:10<3:39:39,  1.43it/s, Loss=0.062 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 10s][A
  0%|          | 13/18864 [00:10<3:38:30,  1.44it/s, Loss=0.062 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 10s][A
  0%|          | 13/18864 [00:11<3:38:30,  1.44it/s, Loss=0.219 (L1:0.36, MSE:0.22), Free VRAM=33.3GiB, Time=0h 0m 11s][A
  0%|          | 14/18864 [00:11<3:37:45,  1.44it/s, Loss=0.219 (L1:0.36, MSE:0.22), Free VRAM=33.3GiB, Time=0h 0m 11s][A
  0%|          | 14/18864 [00:12<3:37:45,  1.44it/s, Loss=0.070 (L1:0.20, MSE:0.07), Free VRAM=33.3GiB, Time=0h 0m 12s][A
  0%|          | 15/18864 [00:12<3:37:09,  1.45it/s, Loss=0.070 (L1:0.20, MSE:0.07), Free VRAM=33.3GiB, Time=0h 0m 12s][A
  0%|          | 15/18864 [00:12<3:37:09,  1.45it/s, Loss=0.054 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 12s][A
  0%|          | 16/18864 [00:12<3:36:49,  1.45it/s, Loss=0.054 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 12s][A
  0%|          | 16/18864 [00:13<3:36:49,  1.45it/s, Loss=0.051 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 13s][A
  0%|          | 17/18864 [00:13<3:36:28,  1.45it/s, Loss=0.051 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 13s][A
  0%|          | 17/18864 [00:14<3:36:28,  1.45it/s, Loss=0.061 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 14s][A
  0%|          | 18/18864 [00:14<3:36:20,  1.45it/s, Loss=0.061 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 14s][A
  0%|          | 18/18864 [00:14<3:36:20,  1.45it/s, Loss=0.061 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 14s][A
  0%|          | 19/18864 [00:14<3:36:10,  1.45it/s, Loss=0.061 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=0h 0m 14s][A
  0%|          | 19/18864 [00:15<3:36:10,  1.45it/s, Loss=0.252 (L1:0.38, MSE:0.25), Free VRAM=33.3GiB, Time=0h 0m 15s][A
  0%|          | 20/18864 [00:15<3:36:05,  1.45it/s, Loss=0.252 (L1:0.38, MSE:0.25), Free VRAM=33.3GiB, Time=0h 0m 15s][A
  0%|          | 20/18864 [00:16<3:36:05,  1.45it/s, Loss=0.251 (L1:0.39, MSE:0.25), Free VRAM=33.3GiB, Time=0h 0m 16s][A
  0%|          | 21/18864 [00:16<3:36:00,  1.45it/s, Loss=0.251 (L1:0.39, MSE:0.25), Free VRAM=33.3GiB, Time=0h 0m 16s][A
  0%|          | 21/18864 [00:17<3:36:00,  1.45it/s, Loss=0.041 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 16s][A
  0%|          | 22/18864 [00:17<3:35:53,  1.45it/s, Loss=0.041 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 16s][A
  0%|          | 22/18864 [00:17<3:35:53,  1.45it/s, Loss=0.040 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 17s][A
  0%|          | 23/18864 [00:17<3:35:54,  1.45it/s, Loss=0.040 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 17s][A
  0%|          | 23/18864 [00:18<3:35:54,  1.45it/s, Loss=0.044 (L1:0.16, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 18s][A
  0%|          | 24/18864 [00:18<3:35:54,  1.45it/s, Loss=0.044 (L1:0.16, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 18s][A
  0%|          | 24/18864 [00:19<3:35:54,  1.45it/s, Loss=0.042 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 18s][A
  0%|          | 25/18864 [00:19<3:35:48,  1.45it/s, Loss=0.042 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 18s][A
  0%|          | 25/18864 [00:19<3:35:48,  1.45it/s, Loss=0.035 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 19s][A
  0%|          | 26/18864 [00:19<3:35:51,  1.45it/s, Loss=0.035 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 19s][A
  0%|          | 26/18864 [00:20<3:35:51,  1.45it/s, Loss=0.036 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 20s][A
  0%|          | 27/18864 [00:20<3:35:49,  1.45it/s, Loss=0.036 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 20s][A
  0%|          | 27/18864 [00:21<3:35:49,  1.45it/s, Loss=0.035 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 21s][A
  0%|          | 28/18864 [00:21<3:35:44,  1.46it/s, Loss=0.035 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 21s][A
  0%|          | 28/18864 [00:21<3:35:44,  1.46it/s, Loss=0.032 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 21s][A
  0%|          | 29/18864 [00:21<3:35:46,  1.45it/s, Loss=0.032 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 21s][A
  0%|          | 29/18864 [00:22<3:35:46,  1.45it/s, Loss=0.039 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 22s][A
  0%|          | 30/18864 [00:22<3:35:51,  1.45it/s, Loss=0.039 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 22s][A
  0%|          | 30/18864 [00:23<3:35:51,  1.45it/s, Loss=0.181 (L1:0.33, MSE:0.18), Free VRAM=33.3GiB, Time=0h 0m 23s][A
  0%|          | 31/18864 [00:23<3:35:49,  1.45it/s, Loss=0.181 (L1:0.33, MSE:0.18), Free VRAM=33.3GiB, Time=0h 0m 23s][A
  0%|          | 31/18864 [00:23<3:35:49,  1.45it/s, Loss=0.029 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 23s][A
  0%|          | 32/18864 [00:23<3:35:50,  1.45it/s, Loss=0.029 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 23s][A
  0%|          | 32/18864 [00:24<3:35:50,  1.45it/s, Loss=0.074 (L1:0.20, MSE:0.07), Free VRAM=33.3GiB, Time=0h 0m 24s][A
  0%|          | 33/18864 [00:24<3:35:49,  1.45it/s, Loss=0.074 (L1:0.20, MSE:0.07), Free VRAM=33.3GiB, Time=0h 0m 24s][A
  0%|          | 33/18864 [00:25<3:35:49,  1.45it/s, Loss=0.232 (L1:0.37, MSE:0.23), Free VRAM=33.3GiB, Time=0h 0m 25s][A
  0%|          | 34/18864 [00:25<3:35:52,  1.45it/s, Loss=0.232 (L1:0.37, MSE:0.23), Free VRAM=33.3GiB, Time=0h 0m 25s][A
  0%|          | 34/18864 [00:25<3:35:52,  1.45it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 25s][A
  0%|          | 35/18864 [00:25<3:35:49,  1.45it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 25s][A
  0%|          | 35/18864 [00:26<3:35:49,  1.45it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 26s][A
  0%|          | 36/18864 [00:26<3:35:51,  1.45it/s, Loss=0.030 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 26s][A
  0%|          | 36/18864 [00:27<3:35:51,  1.45it/s, Loss=0.328 (L1:0.44, MSE:0.33), Free VRAM=33.3GiB, Time=0h 0m 27s][A
  0%|          | 37/18864 [00:27<3:35:50,  1.45it/s, Loss=0.328 (L1:0.44, MSE:0.33), Free VRAM=33.3GiB, Time=0h 0m 27s][A
  0%|          | 37/18864 [00:28<3:35:50,  1.45it/s, Loss=0.031 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 27s][A
  0%|          | 38/18864 [00:28<3:35:47,  1.45it/s, Loss=0.031 (L1:0.13, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 27s][A
  0%|          | 38/18864 [00:28<3:35:47,  1.45it/s, Loss=0.055 (L1:0.18, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 28s][A
  0%|          | 39/18864 [00:28<3:35:44,  1.45it/s, Loss=0.055 (L1:0.18, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 28s][A
  0%|          | 39/18864 [00:29<3:35:44,  1.45it/s, Loss=0.027 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 29s][A
  0%|          | 40/18864 [00:29<3:35:40,  1.45it/s, Loss=0.027 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 29s][A
  0%|          | 40/18864 [00:30<3:35:40,  1.45it/s, Loss=0.025 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 29s][A
  0%|          | 41/18864 [00:30<3:35:36,  1.46it/s, Loss=0.025 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 29s][A
  0%|          | 41/18864 [00:30<3:35:36,  1.46it/s, Loss=0.041 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 30s][A
  0%|          | 42/18864 [00:30<3:35:33,  1.46it/s, Loss=0.041 (L1:0.15, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 30s][A
  0%|          | 42/18864 [00:31<3:35:33,  1.46it/s, Loss=0.027 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 31s][A
  0%|          | 43/18864 [00:31<3:35:34,  1.46it/s, Loss=0.027 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 31s][A
  0%|          | 43/18864 [00:32<3:35:34,  1.46it/s, Loss=0.025 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 32s][A
  0%|          | 44/18864 [00:32<3:35:39,  1.45it/s, Loss=0.025 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 32s][A
  0%|          | 44/18864 [00:32<3:35:39,  1.45it/s, Loss=0.025 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 32s][A
  0%|          | 45/18864 [00:32<3:35:39,  1.45it/s, Loss=0.025 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 32s][A
  0%|          | 45/18864 [00:33<3:35:39,  1.45it/s, Loss=0.119 (L1:0.27, MSE:0.12), Free VRAM=33.3GiB, Time=0h 0m 33s][A
  0%|          | 46/18864 [00:33<3:35:37,  1.45it/s, Loss=0.119 (L1:0.27, MSE:0.12), Free VRAM=33.3GiB, Time=0h 0m 33s][A
  0%|          | 46/18864 [00:34<3:35:37,  1.45it/s, Loss=0.481 (L1:0.54, MSE:0.48), Free VRAM=33.3GiB, Time=0h 0m 34s][A
  0%|          | 47/18864 [00:34<3:35:37,  1.45it/s, Loss=0.481 (L1:0.54, MSE:0.48), Free VRAM=33.3GiB, Time=0h 0m 34s][A
  0%|          | 47/18864 [00:34<3:35:37,  1.45it/s, Loss=0.024 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 34s][A
  0%|          | 48/18864 [00:34<3:35:41,  1.45it/s, Loss=0.024 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 34s][A
  0%|          | 48/18864 [00:35<3:35:41,  1.45it/s, Loss=0.697 (L1:0.64, MSE:0.70), Free VRAM=33.3GiB, Time=0h 0m 35s][A
  0%|          | 49/18864 [00:35<3:35:41,  1.45it/s, Loss=0.697 (L1:0.64, MSE:0.70), Free VRAM=33.3GiB, Time=0h 0m 35s][A
  0%|          | 49/18864 [00:36<3:35:41,  1.45it/s, Loss=0.228 (L1:0.36, MSE:0.23), Free VRAM=33.3GiB, Time=0h 0m 36s][A
  0%|          | 50/18864 [00:36<3:35:39,  1.45it/s, Loss=0.228 (L1:0.36, MSE:0.23), Free VRAM=33.3GiB, Time=0h 0m 36s][A
  0%|          | 50/18864 [00:37<3:35:39,  1.45it/s, Loss=0.024 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 36s][A
  0%|          | 51/18864 [00:37<3:36:29,  1.45it/s, Loss=0.024 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 36s][A
  0%|          | 51/18864 [00:37<3:36:29,  1.45it/s, Loss=0.309 (L1:0.43, MSE:0.31), Free VRAM=33.3GiB, Time=0h 0m 37s][A
  0%|          | 52/18864 [00:37<3:36:16,  1.45it/s, Loss=0.309 (L1:0.43, MSE:0.31), Free VRAM=33.3GiB, Time=0h 0m 37s][A
  0%|          | 52/18864 [00:38<3:36:16,  1.45it/s, Loss=0.026 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 38s][A
  0%|          | 53/18864 [00:38<3:36:04,  1.45it/s, Loss=0.026 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 38s][A
  0%|          | 53/18864 [00:39<3:36:04,  1.45it/s, Loss=0.034 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 38s][A
  0%|          | 54/18864 [00:39<3:36:02,  1.45it/s, Loss=0.034 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 38s][A
  0%|          | 54/18864 [00:39<3:36:02,  1.45it/s, Loss=0.025 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 39s][A
  0%|          | 55/18864 [00:39<3:35:54,  1.45it/s, Loss=0.025 (L1:0.11, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 39s][A
  0%|          | 55/18864 [00:40<3:35:54,  1.45it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 40s][A
  0%|          | 56/18864 [00:40<3:35:49,  1.45it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 40s][A
  0%|          | 56/18864 [00:41<3:35:49,  1.45it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 41s][A
  0%|          | 57/18864 [00:41<3:35:44,  1.45it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 41s][A
  0%|          | 57/18864 [00:41<3:35:44,  1.45it/s, Loss=0.874 (L1:0.74, MSE:0.87), Free VRAM=33.3GiB, Time=0h 0m 41s][A
  0%|          | 58/18864 [00:41<3:35:42,  1.45it/s, Loss=0.874 (L1:0.74, MSE:0.87), Free VRAM=33.3GiB, Time=0h 0m 41s][A
  0%|          | 58/18864 [00:42<3:35:42,  1.45it/s, Loss=0.658 (L1:0.63, MSE:0.66), Free VRAM=33.3GiB, Time=0h 0m 42s][A
  0%|          | 59/18864 [00:42<3:35:34,  1.45it/s, Loss=0.658 (L1:0.63, MSE:0.66), Free VRAM=33.3GiB, Time=0h 0m 42s][A
  0%|          | 59/18864 [00:43<3:35:34,  1.45it/s, Loss=0.033 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 43s][A
  0%|          | 60/18864 [00:43<3:35:30,  1.45it/s, Loss=0.033 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 43s][A
  0%|          | 60/18864 [00:43<3:35:30,  1.45it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 43s][A
  0%|          | 61/18864 [00:43<3:35:32,  1.45it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 43s][A
  0%|          | 61/18864 [00:44<3:35:32,  1.45it/s, Loss=0.405 (L1:0.49, MSE:0.41), Free VRAM=33.3GiB, Time=0h 0m 44s][A
  0%|          | 62/18864 [00:44<3:35:29,  1.45it/s, Loss=0.405 (L1:0.49, MSE:0.41), Free VRAM=33.3GiB, Time=0h 0m 44s][A
  0%|          | 62/18864 [00:45<3:35:29,  1.45it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 45s][A
  0%|          | 63/18864 [00:45<3:35:24,  1.45it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 45s][A
  0%|          | 63/18864 [00:45<3:35:24,  1.45it/s, Loss=0.050 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 45s][A
  0%|          | 64/18864 [00:45<3:35:22,  1.45it/s, Loss=0.050 (L1:0.17, MSE:0.05), Free VRAM=33.3GiB, Time=0h 0m 45s][A
  0%|          | 64/18864 [00:46<3:35:22,  1.45it/s, Loss=0.309 (L1:0.42, MSE:0.31), Free VRAM=33.3GiB, Time=0h 0m 46s][A
  0%|          | 65/18864 [00:46<3:35:25,  1.45it/s, Loss=0.309 (L1:0.42, MSE:0.31), Free VRAM=33.3GiB, Time=0h 0m 46s][A
  0%|          | 65/18864 [00:47<3:35:25,  1.45it/s, Loss=0.037 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 47s][A
  0%|          | 66/18864 [00:47<3:35:20,  1.45it/s, Loss=0.037 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 47s][A
  0%|          | 66/18864 [00:48<3:35:20,  1.45it/s, Loss=0.239 (L1:0.37, MSE:0.24), Free VRAM=33.3GiB, Time=0h 0m 47s][A
  0%|          | 67/18864 [00:48<3:35:18,  1.46it/s, Loss=0.239 (L1:0.37, MSE:0.24), Free VRAM=33.3GiB, Time=0h 0m 47s][A
  0%|          | 67/18864 [00:48<3:35:18,  1.46it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 48s][A
  0%|          | 68/18864 [00:48<3:35:18,  1.45it/s, Loss=0.023 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 48s][A
  0%|          | 68/18864 [00:49<3:35:18,  1.45it/s, Loss=0.026 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 49s][A
  0%|          | 69/18864 [00:49<3:35:19,  1.45it/s, Loss=0.026 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 49s][A
  0%|          | 69/18864 [00:50<3:35:19,  1.45it/s, Loss=0.117 (L1:0.27, MSE:0.12), Free VRAM=33.3GiB, Time=0h 0m 49s][A
  0%|          | 70/18864 [00:50<3:35:18,  1.45it/s, Loss=0.117 (L1:0.27, MSE:0.12), Free VRAM=33.3GiB, Time=0h 0m 49s][A
  0%|          | 70/18864 [00:50<3:35:18,  1.45it/s, Loss=0.024 (L1:0.12, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 50s][A
  0%|          | 71/18864 [00:50<3:35:15,  1.46it/s, Loss=0.024 (L1:0.12, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 50s][A
  0%|          | 71/18864 [00:51<3:35:15,  1.46it/s, Loss=0.042 (L1:0.16, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 51s][A
  0%|          | 72/18864 [00:51<3:35:11,  1.46it/s, Loss=0.042 (L1:0.16, MSE:0.04), Free VRAM=33.3GiB, Time=0h 0m 51s][A
  0%|          | 72/18864 [00:52<3:35:11,  1.46it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 52s][A
  0%|          | 73/18864 [00:52<3:35:10,  1.46it/s, Loss=0.022 (L1:0.11, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 52s][A
  0%|          | 73/18864 [00:52<3:35:10,  1.46it/s, Loss=0.020 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 52s][A
  0%|          | 74/18864 [00:52<3:35:12,  1.46it/s, Loss=0.020 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 52s][A
  0%|          | 74/18864 [00:53<3:35:12,  1.46it/s, Loss=0.084 (L1:0.22, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 53s][A
  0%|          | 75/18864 [00:53<3:35:12,  1.46it/s, Loss=0.084 (L1:0.22, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 53s][A
  0%|          | 75/18864 [00:54<3:35:12,  1.46it/s, Loss=0.017 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 54s][A
  0%|          | 76/18864 [00:54<3:35:12,  1.46it/s, Loss=0.017 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 54s][A
  0%|          | 76/18864 [00:54<3:35:12,  1.46it/s, Loss=0.084 (L1:0.20, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 54s][A
  0%|          | 77/18864 [00:54<3:35:12,  1.45it/s, Loss=0.084 (L1:0.20, MSE:0.08), Free VRAM=33.3GiB, Time=0h 0m 54s][A
  0%|          | 77/18864 [00:55<3:35:12,  1.45it/s, Loss=0.018 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 55s][A
  0%|          | 78/18864 [00:55<3:35:14,  1.45it/s, Loss=0.018 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 55s][A
  0%|          | 78/18864 [00:56<3:35:14,  1.45it/s, Loss=0.018 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 56s][A
  0%|          | 79/18864 [00:56<3:35:13,  1.45it/s, Loss=0.018 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 56s][A
  0%|          | 79/18864 [00:56<3:35:13,  1.45it/s, Loss=0.019 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 56s][A
  0%|          | 80/18864 [00:56<3:35:11,  1.45it/s, Loss=0.019 (L1:0.10, MSE:0.02), Free VRAM=33.3GiB, Time=0h 0m 56s][A
  0%|          | 80/18864 [00:57<3:35:11,  1.45it/s, Loss=0.416 (L1:0.49, MSE:0.42), Free VRAM=33.3GiB, Time=0h 0m 57s][A
  0%|          | 81/18864 [00:57<3:35:07,  1.46it/s, Loss=0.416 (L1:0.49, MSE:0.42), Free VRAM=33.3GiB, Time=0h 0m 57s][A
  0%|          | 81/18864 [00:58<3:35:07,  1.46it/s, Loss=0.031 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 58s][A
  0%|          | 82/18864 [00:58<3:35:08,  1.46it/s, Loss=0.031 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=0h 0m 58s][A
